附表2-1-4省(自治区、直辖市)选用水文监测站,,,,,,,,,,,,,,,,,
测站(井)名称,代码,所在,,,集水面积(km2),监测项目*1,地址(县、乡、村),地理座标,,,,,,主管机构,备注*2,,
,,水资源三级区,地级行政区,河流,,,,东经,,,北纬,,,,,,
,,,,,,,,。,′,″,。,′,″,,,,
李三店,11320740,尼尔基至江桥,齐齐哈尔市,济沁河,,降水,黑龙江省龙江县龙兴镇新功村,122,43,12,47,29,30,黑龙江省水文局,,A,
碾子山(二),11300232,尼尔基至江桥,齐齐哈尔市,雅鲁河,13567,水位、流量、降水、蒸发,齐齐哈尔市碾子山区,122,52,40,47,28,53,黑龙江省水文局,,A,
三连,11320700,尼尔基至江桥,呼伦贝尔市,卧牛河,,降水,扎兰屯市卧牛河乡三连村,122,39,,48,18,,内蒙古水文总局,,A,
头道沟,11300251,尼尔基至江桥,呼伦贝尔市,济沁河,2738,水位、径流、降水、蒸发,扎兰屯市关门山乡头道沟村,122,23,,47,28,,内蒙古水文总局,,A,
五公里,11300240,尼尔基至江桥,呼伦贝尔市,阿木牛河,1785,水位、径流、降水、蒸发,扎兰屯市鄂伦春乡五公里村,122,16,,48,11,,内蒙古水文总局,,A,
雅鲁,11320650,尼尔基至江桥,呼伦贝尔市,雅鲁河,,降水,牙克石市巴林镇雅鲁村,122,8,,48,33,,内蒙古水文总局,,A,
燕窝沟,11320840,尼尔基至江桥,齐齐哈尔市,罕达罕河,,降水,黑龙江省龙江县柳树乡燕窝沟村,122,35,50,47,10,40,黑龙江省水文局,,A,
扎兰屯(四),11300222,尼尔基至江桥,呼伦贝尔市,雅鲁河,6891,水位、径流、降水、蒸发,扎兰屯市,122,44,,48,1,,内蒙古水文总局,,A,
阿拉坦花,11320930,尼尔基至江桥,兴安盟,绰尔河,,降水,扎赉特旗阿拉坦花苏木,122,32,,46,46,,内蒙古水文总局,,A,
柴河,11320890,尼尔基至江桥,呼伦贝尔市,绰尔河,,降水,扎兰屯市柴河镇,121,18,,47,33,,内蒙古水文总局,,A,
两家子(二),11300321,尼尔基至江桥,兴安盟,绰尔河,15544,水位、径流、泥沙、降水,扎赉特旗音德尔镇二龙套海,123,0,,46,44,,内蒙古水文总局,,A,
沙巴尔图,11320920,尼尔基至江桥,兴安盟,绰尔河,,降水,扎赉特旗胡尔勒镇沙巴尔图,122,5,,46,43,,内蒙古气象局,,A,
塔尔气,11300290,尼尔基至江桥,呼伦贝尔市,绰尔河,1906,水位、径流、降水、蒸发,牙克石市塔尔气镇,121,12,,48,0,,内蒙古水文总局,,A,
文得根(四),11300301,尼尔基至江桥,兴安盟,绰尔河,12447,水位、径流、降水、蒸发,扎赉特旗阿拉达尔图苏木后巴雅村,121,59,,46,53,,内蒙古水文总局,,A,
富拉尔基,11200110,尼尔基至江桥,齐齐哈尔,嫩江,123911,水位、流量、降水,齐齐哈尔市富拉尔基区,123,39,10,47,12,00,黑龙江省水文局,,A,
江桥,11200120,尼尔基至江桥,齐齐哈尔市,嫩江,162569,水位、流量、降水、蒸发,泰来县江桥镇,123,41,30,46,47,30,黑龙江省水文局,,A,
龙江,11320770,尼尔基至江桥,齐齐哈尔市,雅鲁河,,降水,黑龙江省龙江县龙江镇,123,10,50,47,20,00,黑龙江省气象局,,A,
民主,11420060,尼尔基至江桥,兴安盟,沱凌河,,降水,科尔沁右翼前旗察尔森镇民主二队,121,49,,46,27,,内蒙古水文总局,,A,
齐齐哈尔,11320620,尼尔基至江桥,齐齐哈尔市,嫩江,,降水,黑龙江省齐齐哈尔市建华区,123,54,50,47,22,05,黑龙江省水文局,,A,
文固达,11320600,尼尔基至江桥,齐齐哈尔市,嫩江,,降水,黑龙江省龙江县哈拉海乡文固达村,123,32,35,47,34,20,黑龙江省水文局,,A,
中兴,11320760,尼尔基至江桥,齐齐哈尔市,雅鲁河,,降水,黑龙江省甘南县中兴乡,123,14,00,47,42,08,黑龙江省水文局,,A,
拜泉,11320540,江桥以下,齐齐哈尔市,双阳河,,降水,黑龙江省拜泉县拜泉镇,126,05,00,47,36,30,黑龙江省气象局,,A,
宝泉,11320380,江桥以下,齐齐哈尔市,乌裕尔河,,降水,黑龙江省依安县阳春乡,125,29,12,47,45,45,黑龙江省水文局,,A,
北安(三),11300063,江桥以下,黑河市,乌裕尔河,2592,水位、流量、降水,黑龙江省北安市,126,29,22,48,12,38,黑龙江省水文局,,A,
丰产,11320550,江桥以下,齐齐哈尔市,双阳河,,降水,黑龙江省拜泉县丰产乡,125,50,40,47,38,50,黑龙江省水文局,,A,
富海,11320460,江桥以下,齐齐哈尔市,乌裕尔河,,降水,黑龙江省富裕县富海镇,124,51,00,47,52,15,黑龙江省水文局,,A,
富裕,11320470,江桥以下,齐齐哈尔市,乌裕尔河,,降水,黑龙江省富裕县富裕镇,124,27,30,47,48,00,黑龙江省气象局,,A,
