OID_,NAME_PY,NAME_CH,NAME_FT,PRES_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,END_YR,END_RULE,DYN_PY,DYN_CH,LEV1_PY,LEV1_CH,NOTE_ID,OBJ_TYPE,SYS_ID,GEO_SRC,COMPILER,GEOCOMP,CHECKER,ENT_DATE,X_COORD,Y_COORD,AREA
,Qin Zhou,秦州,秦州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Gansu,甘肃,0.000000000000000,POLYGON,1843,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,105.701239999999999,34.360819999999997,18111.8007813
,Jiang Zhou,绛州,絳州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,0.000000000000000,POLYGON,1821,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,111.259929999999997,35.402870000000000,5480.0898438
,Puzhou Fu,蒲州府,蒲州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,0.000000000000000,POLYGON,1824,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,110.604969999999994,35.043799999999997,3804.2800293
,Shan Zhou,陕州,陜州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Henan,河南,0.000000000000000,POLYGON,1967,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,111.063149999999993,34.215200000000003,9558.9697266
,Youyang Zhou,酉阳州,酉陽州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Sichuan,四川,0.000000000000000,POLYGON,1858,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,108.573960000000000,29.080639999999999,14524.0000000
,Kuizhou Fu,夔州府,夔州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Sichuan,四川,0.000000000000000,POLYGON,1856,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,109.094790000000003,31.083539999999999,21927.8007813
,Taiping Ting,太平厅,太平廳, ,Zhiliting,直隶厅,3,1911,9,1911,9,Qingchao,清朝,Sichuan,四川,0.000000000000000,POLYGON,1879,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,108.461110000000005,31.939579999999999,7773.1201172
,Songtao Ting,松桃厅,松桃廳, ,Zhiliting,直隶厅,3,1911,9,1911,9,Qingchao,清朝,Guizhou,贵州,0.000000000000000,POLYGON,1908,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,109.002700000000004,28.197320000000001,2290.4699707
,Tongren Fu,铜仁府,銅仁府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Guizhou,贵州,0.000000000000000,POLYGON,1904,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,108.977469999999997,27.796279999999999,3807.5400391
,Sizhou Fu,思州府,思州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Guizhou,贵州,0.000000000000000,POLYGON,1905,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,108.955359999999999,27.340370000000000,2691.5800781
